Time (Seconds),Leakage Current (mA),Earth Resistance (Ohms),Continuity Status
0,1.495718422,84.95508071,1
5,0.280746042,21.20362748,1
10,3.086865237,50.86205125,1
15,2.563127214,62.93951572,1
20,0.352245881,40.24048498,1
25,1.465367675,41.55212071,1
30,4.550502841,14.23186714,1
35,1.273853264,50.03406676,1
40,0.809984873,71.22015741,1
45,2.498318525,5.971786709,1
50,4.929687225,31.72251863,1
55,1.28607083,93.25259727,0
60,3.393464182,48.80497383,1
65,3.831936115,79.7087537,1
70,1.264423966,6.014756812,1
75,3.668260108,71.99637809,1
80,1.90213735,92.69279549,1
85,3.19829857,71.03011289,1
90,3.204295583,11.91680842,1
95,2.725295952,385.271385,1
100,0.542419873,39.6915053,1
105,4.192982228,54.42083322,1
110,1.671822318,76.48689211,1
115,1.013940701,7.031810244,1
120,0.299798194,78.09558766,1
125,2.995375422,39.26516145,1
130,3.420065373,86.62142235,1
135,0.181280362,1.390001347,0
140,2.609255986,46.92336693,1
145,1.209829298,85.0359172,1
150,3.261346673,73.31793751,1
155,0.954395502,94.6823662,1
160,3.485594917,94.32318389,1
165,1.995003197,86.09373524,1
170,4.689976945,450.5864277,1
175,0.773852626,21.37237474,1
180,1.77122512,20.12302867,1
185,0.656020254,35.45525684,1
190,4.63099873,466.1888995,1
195,4.398962832,77.87968252,1
200,1.363913976,49.4787226,1
205,3.333921826,93.79398834,1
210,4.104388781,492.8733726,1
215,2.820483977,63.97133372,1
220,2.695287834,70.23969804,1
225,1.285076225,22.53181169,1
230,0.556203562,1.508125466,1
235,4.496357214,0.952391774,1
240,4.51204848,42.19904492,1
245,3.202197141,62.59720536,1
250,1.761245976,7.158801738,1
255,1.811126916,57.16288112,1
260,3.657182826,39.64596127,1
265,4.495840274,29.10162647,1
270,4.446723479,54.10916206,1
275,3.921390175,3.962712638,1
280,3.245955066,55.80101256,1
285,0.512285828,23.79495305,1
290,0.891980699,26.02409076,1
295,4.502915524,88.45658431,0
300,3.071502392,53.97162739,1
305,0.145065553,56.99283832,1
310,0.59721056,46.79802755,1
315,3.351158669,63.16044662,1
320,0.124801761,58.44238361,1
325,0.887959452,94.64224472,1
330,2.788795568,92.87255771,1
335,3.490286469,16.04126964,1
340,3.294610172,63.48262644,1
345,1.198919616,3.526079185,1
350,3.589678185,33.391748,1
355,1.262520529,14.70723438,1
360,1.694458521,79.2731392,1
365,3.757807885,21.8662065,1
370,3.283201205,58.22045922,0
375,4.261194711,659.5765888,1
380,3.322303172,10.75585036,1
385,2.884712156,1.285827285,1
390,0.559006362,7.426007645,1
395,1.901807435,99.44290382,1
400,1.399491602,76.68831855,1
405,1.295549253,17.14902702,0
410,4.867751718,95.07773619,1
415,2.026178851,75.1933536,1
420,4.47102812,2.990698226,1
425,3.192579267,57.87970231,1
430,3.994575387,1.115328991,1
435,2.562921756,79.8947637,1
440,2.926829035,26.9759432,1
445,2.5133367,66.169343,1
450,1.05669064,2.77760371,1
455,3.640015365,31.67633956,1
460,1.475784576,15.13781152,1
465,0.219148236,31.92640341,1
470,3.26281425,81.4760521,1
475,0.967842329,91.57548565,1
480,4.708247063,93.9931366,1
485,4.774250027,79.51647465,1
490,4.582835512,44.62192134,1
495,72.8144146,35.41629051,1
500,0.175737421,59.04329504,1
505,4.648760957,5.751016859,1
510,2.198102327,89.72007053,1
515,4.836608613,50.48033673,1
520,4.821737888,97.36413426,1
525,4.279746332,17.1196545,1
530,1.542799571,57.12153182,1
535,1.98697887,95.88823413,1
540,4.27056969,29.73486183,1
545,1.652917825,66.22717303,1
550,0.930514459,50.72700994,1
555,2.828326186,93.62078925,1
560,4.687158393,64.35647933,1
565,3.510546004,75.91129662,1
570,2.893299733,42.35130348,1
575,0.576164819,38.31409549,1
580,3.113535411,17.42533862,1
585,4.951263866,26.8231843,1
590,0.786411675,35.50305402,1
595,2.639815297,27.98446572,1
600,4.399128052,58.50136565,1
605,3.729766227,24.68894094,1
610,3.515377131,14.68580973,1
615,3.542172012,80.50215214,1
620,1.861506641,44.0300545,1
625,1.538600037,58.16700156,1
630,4.065869662,59.25539352,1
635,4.069555634,87.31006199,1
640,4.348654361,57.52034289,1
645,4.574878708,27.13185247,1
650,2.605577754,99.42540714,1
655,2.557429844,11.90261167,1
660,4.011646377,86.59738399,1
665,3.284823261,70.76495246,0
670,3.539637699,12.29998581,1
675,3.99938408,34.10117114,1
680,4.461026175,96.65024531,1
685,1.756176269,71.51992745,1
690,1.940356468,82.16627112,0
695,0.560511505,22.94044393,1
700,2.933572691,11.73007762,1
705,0.276117142,96.31708868,1
710,2.381430289,52.30699995,1
715,2.75895871,12.76963897,1
720,1.504052135,58.64680753,1
725,2.995082977,123.1085045,1
730,0.249451225,20.52598445,1
735,0.283006125,8.818383083,1
740,4.130742747,80.96093778,1
745,1.864934143,63.60425541,1
750,0.722596512,5.152388966,1
755,2.658991974,21.20753571,1
760,3.87296841,144.9031874,1
765,1.157523035,96.69448389,1
770,3.152163332,19.82865554,1
775,0.518202578,20.30757914,1
780,0.353240434,52.68571381,1
785,2.703637695,90.0918281,1
790,2.749112096,99.54302083,1
795,3.223406517,2.788553798,1
800,3.657847535,65.99602001,1
805,4.881675189,14.05370693,1
810,2.629871707,29.32121102,1
815,1.682486717,803.1899697,1
820,3.996412354,41.11371772,1
825,1.427078031,59.44213223,0
830,2.250959961,211.4712915,0
835,0.484436269,44.690769,1
840,0.224218643,31.87250391,1
845,4.816977232,0.614243662,1
850,4.196302591,48.9385704,1
855,3.51027361,80.47748992,1
860,2.103869428,93.11008147,1
865,0.949142168,73.91730978,1
870,0.866541509,76.84535826,1
